,Accuracy,F1-Score,Precision,Recall
0,0.7,0.5764705882352942,0.48999999999999994,0.7
1,0.712,0.5922242990654205,0.506944,0.712
2,0.658,0.5222726176115803,0.432964,0.658
3,0.746,0.637475372279496,0.556516,0.746
4,0.694,0.5686375442739079,0.48163599999999995,0.694
5,0.678,0.5478951132300358,0.45968400000000004,0.678
6,0.72,0.6027906976744185,0.5184,0.72
7,0.698,0.5738563015312131,0.48720399999999997,0.698
8,0.678,0.5478951132300358,0.45968400000000004,0.678
9,0.712,0.5922242990654205,0.506944,0.712
10,0.728,0.6134074074074074,0.529984,0.728
11,0.704,0.5817089201877934,0.495616,0.704
12,0.704,0.5817089201877934,0.495616,0.704
13,0.708,0.58696018735363,0.5012639999999999,0.708
14,0.704,0.5817089201877934,0.495616,0.704
15,0.696,0.5712452830188679,0.48441599999999996,0.696
16,0.716,0.5975011655011655,0.512656,0.716
17,0.716,0.5975011655011655,0.512656,0.716
18,0.742,0.632105625717566,0.5505639999999999,0.742
19,0.7,0.5764705882352942,0.48999999999999994,0.7
20,0.68,0.5504761904761905,0.46240000000000003,0.68
21,0.738,0.6267479861910242,0.544644,0.738
22,0.714,0.5948611435239206,0.509796,0.714
23,0.712,0.5922242990654205,0.506944,0.712
24,0.724,0.6080928074245939,0.524176,0.724
25,0.728,0.6134074074074074,0.529984,0.728
26,0.708,0.58696018735363,0.5012639999999999,0.708
27,0.696,0.5712452830188679,0.48441599999999996,0.696
28,0.684,0.5556484560570071,0.46785600000000005,0.684
29,0.712,0.5922242990654205,0.506944,0.712
