,Accuracy,Precision,Recall,F1-Score
0,0.888,0.8807592039515997,0.888,0.8799195134619553
1,0.868,0.8568539619520265,0.868,0.8588558532015501
2,0.878,0.8642488806530257,0.878,0.8677569565092743
3,0.864,0.8479863972779371,0.864,0.8524015786264002
4,0.86,0.8481968957871396,0.86,0.8480243199024743
5,0.874,0.8641514886628522,0.874,0.8652453074560025
6,0.88,0.8667071000704721,0.88,0.8709017514494335
7,0.886,0.8725918861841878,0.886,0.8768950624062986
8,0.872,0.860610907722262,0.872,0.8627770461058597
9,0.872,0.8583976860043698,0.872,0.8622745540174738
10,0.86,0.8418985782437043,0.86,0.8475032055993852
11,0.86,0.8431474315655261,0.86,0.8465430318121944
12,0.852,0.83926984659507,0.852,0.8418509819086389
13,0.862,0.8426911455854826,0.862,0.8489658263101686
14,0.87,0.8575091042988688,0.87,0.8608688173377368
15,0.87,0.8641964313523152,0.87,0.8644233506872384
16,0.87,0.862188299640176,0.87,0.86406450761499
17,0.858,0.8495010678013075,0.858,0.8488998112751526
18,0.862,0.8526906803274616,0.862,0.8547157914883543
19,0.87,0.8656747892720307,0.87,0.8664153492234986
20,0.882,0.8725332393154449,0.882,0.8749400562520386
21,0.856,0.8491252740167633,0.856,0.849365206146284
22,0.864,0.8456688753514527,0.864,0.8487524942990222
23,0.842,0.8222077417795435,0.842,0.8297483029685655
24,0.876,0.8640993271221532,0.876,0.8683163063184428
25,0.86,0.8486054979376773,0.86,0.8530647709246756
26,0.844,0.8333154570919277,0.844,0.836058532614926
27,0.854,0.8333387084563555,0.854,0.8390772354304513
28,0.86,0.8474717689312175,0.86,0.8509879353556304
29,0.86,0.8523520195622073,0.86,0.8538054351155726
