,Accuracy,Precision,Recall,F1-Score
0,0.786,0.7395833418237392,0.786,0.7324940435797578
1,0.784,0.8173590312126898,0.784,0.7333465867193633
2,0.788,0.7566843822843823,0.788,0.7335629732589258
3,0.812,0.837377581120944,0.812,0.7698980482881412
4,0.75,0.7840952380952381,0.75,0.6835345645657291
5,0.762,0.7518463297934415,0.762,0.704108718657768
6,0.796,0.763118485000838,0.796,0.7454896774265257
7,0.792,0.7450520939734422,0.792,0.7407278923424493
8,0.782,0.7910378942591332,0.782,0.7299599746995571
9,0.78,0.8045124542124542,0.78,0.7267028260939978
10,0.77,0.7265189743589745,0.77,0.7124466761276668
11,0.786,0.745058149058149,0.786,0.7367097272704795
12,0.802,0.8264533333333334,0.802,0.7586376704844493
13,0.746,0.766380557522356,0.746,0.6845934010771842
14,0.8,0.8128485259234157,0.8,0.7518317162934902
15,0.77,0.7426173062452972,0.77,0.7178000475714762
16,0.78,0.7246264811654567,0.78,0.7259307005483129
17,0.802,0.8181646127196238,0.802,0.7598493272890645
18,0.768,0.7243030303030302,0.768,0.7024234311415721
19,0.762,0.7877750954927426,0.762,0.7083216531493799
20,0.8,0.814140339836375,0.8,0.7585817426863061
21,0.782,0.7425896103896104,0.782,0.7225946379578124
22,0.766,0.7256415584415584,0.766,0.7080295348655858
23,0.782,0.7197871627283392,0.782,0.7214412633966836
24,0.81,0.7599639751663764,0.81,0.7642786898635955
25,0.774,0.7214508714006472,0.774,0.7198135266272097
26,0.782,0.7269936507936509,0.782,0.7254801831273242
27,0.756,0.7126957983193277,0.756,0.6915278104558948
28,0.818,0.8376044698544697,0.818,0.7782614293066685
29,0.802,0.8235537117903929,0.802,0.7525674877425088
