,Accuracy,Precision,Recall,F1-Score
0,0.84,0.7984265078183171,0.84,0.8096645065963314
1,0.838,0.8181259600614438,0.838,0.8091118423874742
2,0.834,0.8250349744245524,0.834,0.804192208876937
3,0.814,0.8098365983414176,0.814,0.776896748220625
4,0.826,0.8303873820609132,0.826,0.7946483805937085
5,0.826,0.7992328098552528,0.826,0.7898803134722168
6,0.844,0.8450538152610441,0.844,0.815444391053205
7,0.848,0.8442139037433155,0.848,0.8211256331720923
8,0.824,0.777036586929054,0.824,0.7820274114390967
9,0.832,0.8156145985332521,0.832,0.8004611262368398
10,0.818,0.7562268292682927,0.818,0.7740457142857143
11,0.838,0.8227819594830598,0.838,0.8091046626230116
12,0.84,0.8239025097858623,0.84,0.8072146710352344
13,0.848,0.827747462919594,0.848,0.8181096446126475
14,0.852,0.8461743842364531,0.852,0.8239084932114352
15,0.828,0.7737404738571511,0.828,0.7917144210678869
16,0.848,0.8355915190552871,0.848,0.8275568813269838
17,0.856,0.8554133190609476,0.856,0.8377085101468403
18,0.838,0.8359690154922539,0.838,0.8112983030981112
19,0.814,0.80364,0.814,0.7807944993652775
20,0.846,0.8434412166780587,0.846,0.8256640737013893
21,0.82,0.7955457875457875,0.82,0.7900797745054802
22,0.846,0.8131569391706691,0.846,0.8145977645397884
23,0.822,0.8072410717259295,0.822,0.7854018575407813
24,0.826,0.8288574102805187,0.826,0.7903711464107916
25,0.838,0.8340854257337351,0.838,0.8073362157212807
26,0.84,0.8179671908037786,0.84,0.8104357686495816
27,0.832,0.7816318637883856,0.832,0.796246731534719
28,0.844,0.8401418748755431,0.844,0.8161051021629855
29,0.846,0.8452634065934067,0.846,0.817397201447786
