,Accuracy,F1-Score,Precision,Recall
0,0.882,0.8606037552396815,0.8451375611548798,0.882
1,0.866,0.8414875290502152,0.8600848429586908,0.866
2,0.872,0.849347543434641,0.8693732639061739,0.872
3,0.878,0.8573253557775469,0.879184677013899,0.878
4,0.87,0.8469016587307568,0.8635991336633663,0.87
5,0.88,0.8608725665954917,0.8745124952293718,0.88
6,0.88,0.8607285443162773,0.8770610527991932,0.88
7,0.884,0.8648232530788316,0.8807829353218286,0.884
8,0.866,0.8440680093647009,0.8631585203354036,0.866
9,0.856,0.8297117084482295,0.8113411779790117,0.856
10,0.866,0.8426572348216818,0.8641013851764963,0.866
11,0.892,0.8717900991794496,0.8863771109418636,0.892
12,0.886,0.8697467642820559,0.8845859740259739,0.886
13,0.886,0.8660521028013992,0.8511464221405314,0.886
14,0.888,0.8672148197540059,0.8848384053161739,0.888
15,0.886,0.8647275002893071,0.8861697082612818,0.886
16,0.878,0.8572533488894651,0.8741492753623188,0.878
17,0.888,0.8652930283224401,0.8500448165869218,0.888
18,0.876,0.8542264232509711,0.8363481798700291,0.876
19,0.868,0.842267119414169,0.8587271108390184,0.868
20,0.878,0.8554070872782322,0.874653025210084,0.878
21,0.88,0.859239433273334,0.8774535280307255,0.88
22,0.862,0.8395920490827387,0.8593594550598201,0.862
23,0.88,0.8593309734189899,0.8731541443202591,0.88
24,0.88,0.860076129079559,0.8485380635938373,0.88
25,0.882,0.8624087724560007,0.8781959687713361,0.882
26,0.878,0.8577661995381008,0.8749516290726818,0.878
27,0.88,0.8606505394256704,0.8763909774436089,0.88
28,0.89,0.8684384011812124,0.8869506493506494,0.89
29,0.886,0.8678459092785026,0.8810184382284382,0.886
