,File_name,Script,translation,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,class_name
1,word_2.png,Arabic,المشوى,,,,,3
14,word_15.png,Arabic,ض,,,,,3
16,word_17.png,Latin,Quit!!,,,,,0
18,word_19.png,Arabic,أعود,,,,,3
30,word_31.png,Latin,Castle,,,,,0
41,word_42.png,Latin,South,,,,,0
45,word_46.png,Arabic,التوظيف,,,,,3
57,word_58.png,Latin,ALMUTANBAK,,,,,0
63,word_64.png,Arabic,حلو,,,,,3
67,word_68.png,Arabic,جواجم,,,,,3
74,word_76.png,Latin,Voyages,,,,,0
82,word_84.png,Latin,Réservation,,,,,0
87,word_89.png,Latin,MAROC,,,,,0
105,word_107.png,Arabic,أكلات,,,,,3
108,word_110.png,Arabic,الوثائق,,,,,3
111,word_113.png,Arabic,وليد,,,,,3
112,word_114.png,Arabic,مدرسة,,,,,3
115,word_117.png,Arabic,السياقة,,,,,3
130,word_132.png,Arabic,مدرسة,,,,,3
132,word_134.png,Latin,STOP,,,,,0
134,word_136.png,Latin,4,,,,,0
142,word_144.png,Arabic,روح,,,,,3
148,word_150.png,Arabic,عبودة,,,,,3
164,word_166.png,Arabic,علي,,,,,3
173,word_175.png,Latin,VOLVO,,,,,0
185,word_187.png,Arabic,مأوى,,,,,3
216,word_218.png,Arabic,فسبّ,,,,,3
217,word_219.png,Arabic,الله,,,,,3
222,word_224.png,Latin,1938,,,,,0
223,word_225.png,Arabic,عجَة,,,,,3
225,word_227.png,Arabic,كوكاكولا,,,,,3
226,word_228.png,Arabic,كوكاكولا,,,,,3
236,word_239.png,Latin,RASSEMBLEMENT,,,,,0
237,word_240.png,Arabic,ممنوع,,,,,3
250,word_253.png,Latin,des,,,,,0
253,word_256.png,Latin,Chiheb,,,,,0
267,word_270.png,Latin,71,,,,,0
269,word_272.png,Latin,793,,,,,0
277,word_282.png,Arabic,تحويل,,,,,3
294,word_299.png,Arabic,مبَارك,,,,,3
297,word_302.png,Arabic,العلاج,,,,,3
302,word_307.png,Latin,BEN,,,,,0
309,word_314.png,Latin,Fonctionnelle,,,,,0
316,word_321.png,Latin,155,,,,,0
318,word_325.png,Arabic,و,,,,,3
322,word_329.png,Latin,Gastro,,,,,0
