,Accuracy,F1-Score,Precision,Recall
0,0.798,0.8108092685810862,0.8537848054157652,0.798
1,0.786,0.8011266086077131,0.8387185298783508,0.786
2,0.764,0.7781664975933952,0.8228209516404242,0.764
3,0.802,0.8134516530142453,0.8476758316618782,0.802
4,0.782,0.7988796947176441,0.8430022564272316,0.782
5,0.788,0.8025395385655447,0.8434106391115623,0.788
6,0.776,0.7904799854929727,0.8326286562454964,0.776
7,0.794,0.808931132014707,0.8526488635354054,0.794
8,0.788,0.8043784177370507,0.8569050156265059,0.788
9,0.796,0.8141184851191731,0.8614336389195772,0.796
10,0.78,0.7939767259646547,0.8320256820433914,0.78
11,0.792,0.8071343088406829,0.8549898018862074,0.792
12,0.8,0.8131960071594783,0.8511115695133692,0.8
13,0.794,0.809894269829994,0.8546380938763415,0.794
14,0.792,0.8052029029153377,0.8425166593204957,0.792
15,0.77,0.7850556939098937,0.8300327029156818,0.77
16,0.788,0.803455785255915,0.8528018648018649,0.788
17,0.806,0.8187206127107863,0.8563828247814824,0.806
18,0.776,0.7917914073626064,0.835334868060957,0.776
19,0.786,0.8014501198450075,0.845676258769479,0.786
20,0.8,0.8147844426051252,0.8579496124044869,0.8
21,0.786,0.8017250149705064,0.8440471762499626,0.786
22,0.79,0.8052434777872586,0.8475191946568423,0.79
23,0.792,0.8065484672130067,0.8526106602795676,0.792
24,0.772,0.7893779498753781,0.8392610837310814,0.772
25,0.776,0.7936384822223995,0.8425890407107514,0.776
26,0.8,0.8140157348894831,0.8520101947415499,0.8
27,0.804,0.8170376864119704,0.8572867440278812,0.804
28,0.784,0.7988882890194153,0.8427524247020833,0.784
29,0.792,0.8061976338077631,0.84545311136291,0.792
