,Accuracy,Precision,Recall,F1-Score
0,0.842,0.8735361138573077,0.842,0.8493890525026981
1,0.836,0.8851834699453551,0.836,0.8484017600801287
2,0.844,0.8819985282744293,0.844,0.8533724301951522
3,0.852,0.8907900999517279,0.852,0.8613305559941788
4,0.86,0.889115109615551,0.86,0.8668050410543724
5,0.84,0.8770072644955498,0.84,0.8502132017432296
6,0.854,0.8770695284807591,0.854,0.860331597710978
7,0.85,0.879491380006487,0.85,0.8572781533819468
8,0.836,0.8538713772840949,0.836,0.8409308050350128
9,0.876,0.9040020762706884,0.876,0.8818763632224396
10,0.842,0.8740697120863927,0.842,0.8494155206331789
11,0.876,0.9031448814684484,0.876,0.8832101079806668
12,0.874,0.8950555142497244,0.874,0.8798847476363298
13,0.874,0.8912423163418292,0.874,0.878398617008367
14,0.844,0.8698120117636247,0.844,0.8509241882148858
15,0.858,0.881571888502923,0.858,0.8641261655764796
16,0.846,0.8779328275381209,0.846,0.8530041433439574
17,0.846,0.8759882362176213,0.846,0.8532247128047102
18,0.858,0.8848816758920474,0.858,0.865343538417975
19,0.856,0.8801948477222868,0.856,0.862362448579098
20,0.838,0.8825106479677964,0.838,0.8488081565901714
21,0.862,0.8975022992823017,0.862,0.8702863970570668
22,0.846,0.8729006457576779,0.846,0.8543889447628531
23,0.84,0.8693875133492155,0.84,0.8471726339473701
24,0.864,0.887504755538579,0.864,0.8697930990842833
25,0.874,0.8872505028305028,0.874,0.8778063207923905
26,0.86,0.8840023172905526,0.86,0.8662163118358203
27,0.856,0.8736992227570426,0.856,0.860854268783041
28,0.874,0.8993993356643357,0.874,0.8808291731518839
29,0.858,0.885801439239417,0.858,0.8640774556097297
